Date,Item,LNG_Bcf,Region,Pipe_Bcf
2015-11-02,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-11-03,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-11-04,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-11-05,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-11-06,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-11-07,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-11-08,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-11-09,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-11-10,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-11-11,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-11-12,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-11-13,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-11-14,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-11-15,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-11-16,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-11-17,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-11-18,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-11-19,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-11-20,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-11-21,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-11-22,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-11-23,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-11-24,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-11-25,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-11-26,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-11-27,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-11-28,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-11-29,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-11-30,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-12-01,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-12-02,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-12-03,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-12-04,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-12-05,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
